x,y,z,kbn1
1.61168512625,CRrP6,ZNKcr,111
1.11798376933,JyXZD,lxbS7,111
-0.408351650934,UJurY,7purf,111
0.440830338814,WDdIQ,6GBSV,111
0.256909485961,hi9nf,wePQp,111
0.604885318986,9fxRG,C0abr,111
-1.05735827988,dS9oG,J3H11,111
0.178889324774,O0rpe,WEIDm,111
0.0745146013195,ydsVd,OQyw0,111
-1.63227993702,JM3lU,qZTRw,111
0.991622072642,sCRtX,SnjrY,111
1.96116279021,akYR6,j8Kht,111
-0.468083614029,KkwRO,AH9Xi,111
-0.151884022267,sCRtX,qLCWI,111
-1.52484574777,zYGBj,ke95A,111
-0.270363900642,lcZqG,2tXf2,111
0.0450489304837,hN9vH,mcYH3,111
1.22500414104,lOuk2,3w6Ge,111
-0.602300326165,Y3CIa,Npyok,111
0.565732633704,hi9nf,ubVJ5,111
0.99853076958,UxGti,IQ17g,111
-1.23569346841,wn5Tl,eisTC,111
-1.62681270249,owCus,yFBMX,111
-0.988894285739,ydsVd,BNZWf,111
0.706383583579,Y3CIa,cY4mW,111
-0.91822419406,jjPxd,ooife,111
-0.131336742925,CKzGQ,QgwSh,111
-0.00695925467129,JaFfE,maqyY,111
-0.68580887411,hxn6r,kZx9n,111
1.05709926324,JM3lU,rJJxY,111
-0.67739919633,9fxRG,ePdjc,111
-1.63622346798,1m5Qu,2Srxj,111
1.01566640161,JyXZD,stLN5,111
0.495898717568,ttoNG,7Czep,111
0.0743554212687,O0rpe,cDny8,111
-0.435166692127,ydsVd,xzu7S,111
-0.699889638135,9cfLm,I4lHg,111
-0.0451839355006,sCRtX,CJkhV,111
-0.865484597921,O0rpe,JzEF7,111
-0.137734304166,awqQK,3k3wD,111
-1.42947681148,QZ48O,cKZP8,111
1.10813361319,JE7ds,F9gYz,111
0.0309100158011,7dNjt,eRo7l,111
-0.797224100427,JE7ds,saiXc,111
-0.675662380964,HsrDu,Scnwm,111
-0.688710873658,juZqZ,RLfUe,111
1.9485584359,MNxUy,i1Kny,111
1.21602764699,ewJ6t,MVxS0,111
0.853405682752,MNxUy,71kQD,111
1.41513779844,BvNNl,cpclB,111
0.815011399249,1IZE1,DEFIA,111
1.7440288104,nEy9c,RtITK,111
0.0864904601786,WOitF,pqZSa,111
1.58489894511,hN9vH,fS7Ib,111
-1.64081378716,MNxUy,nZwMA,111
-1.3201213711,UAYSd,9BBRW,111
0.919624064327,sO2pl,hRuaA,111
0.175487596058,edTl8,cUX5Q,111
-1.70765530134,ewJ6t,LhoGI,111
-0.00853923846762,dS9oG,pUjid,111
-0.155311324139,Ey0dZ,d5N1b,111
0.178562832076,yym6b,ipy91,111
-0.629267309098,sO2pl,YTbez,111
1.14426573445,Ey0dZ,zL1Kt,111
1.8836265175,zYGBj,e7R6f,111
-2.60057130717,akYR6,LzVSR,111
-2.02088806634,S19cV,63y78,111
0.766104243404,HsrDu,2EQoY,111
-2.06644464177,Uzq85,dkwCy,111
-0.654507974164,JYEDX,WbjXx,111
-1.02381203305,O0rpe,vfEeA,111
-0.289825576982,lOuk2,8C2xf,111
-0.305487441913,6xpn1,qnw5Q,111
1.40288481361,OcBtz,ZrYYD,111
0.677644679001,awqQK,vIfeI,111
1.7256548968,OGK77,cBb8J,111
-0.316949452573,lcZqG,1E5Np,111
-0.769569806816,rLzni,zuRA5,111
0.463358644312,6R388,YV4M7,111
-2.19502985872,owCus,IPvkB,111
-0.942086797166,OGK77,58rpg,111
-0.584302866482,nWNvj,vccnA,111
0.114620409456,CRrP6,fOUqq,111
0.27863437897,FjkBT,nLV9N,111
1.12627333271,UAYSd,g7DMz,111
1.12344984511,MVD5b,NQWMU,111
-0.371457074092,dEIRn,8EL4P,111
-0.364803955101,Q1WE7,Lb1ie,111
2.62263629778,i4BD7,CGtUi,111
-0.715625762079,leNCT,Wj60h,111
-1.53017659184,edTl8,4By9g,111
-1.00596154205,ydsVd,9xG4C,111
-1.09814067664,O0rpe,Y1DLB,111
-0.271620186055,SV1ad,ERvdm,111
0.987062716262,fOKal,aLVlJ,111
0.461700494445,219tH,Qvttd,111
-0.84997274183,MVD5b,v5UEI,111
1.09454948264,OcBtz,4nrzF,111
1.10373478207,MNxUy,xCoD9,111
-0.235189157533,CKzGQ,WEEzh,111
1.15833736193,iAc40,ilHoM,111
0.395110750342,0dmK0,OpANe,111
1.36967586251,MNxUy,uAGX1,111
0.216596676739,MNxUy,Pirqe,111
-0.71822371696,2aMtU,fp1xs,111
0.265723065362,JE7ds,wH6TN,111
-1.91153141769,BvNNl,onPEX,111
-1.42085319511,4qyDv,KWdWf,111
1.61063110665,wn5Tl,GczMe,111
0.169106026873,OGK77,YHG2N,111
0.55803233176,QmMJw,pvIMG,111
0.865392687636,FjkBT,03oqi,111
0.417669012263,OGK77,z7Mp7,111
1.11808319144,i4BD7,P4hW1,111
-0.133170499098,1DdJN,FiVpM,111
-1.63657245411,RL9CV,eTzA8,111
0.806759148178,O0rpe,CQnnZ,111
2.48786755463,hxn6r,0Bpxt,111
0.128647755718,JYEDX,vv1ON,111
2.32819349777,dS9oG,MMSfh,111
0.370657987107,nWNvj,X65yO,111
1.21331912102,iAc40,Ht3E2,111
0.284179972866,leNCT,T9N0W,111
-1.16533507029,WDdIQ,8JtE9,111
-1.46657528012,SV1ad,2EIX8,111
0.0962439412034,JE7ds,2at4K,111
-0.190796557509,lcZqG,0mTRj,111
-0.142775289675,fpVas,QDaIZ,111
0.597670348015,Ey0dZ,4GXri,111
0.121995401991,WDdIQ,QTmgV,111
-0.094304195811,JM3lU,2zMG7,111
-1.25881185089,OopuJ,0ClDb,111
0.70082100067,ydsVd,SR3EV,111
-0.0761961186519,F2Sy9,PtE7Q,111
1.81005017229,SIIyH,2m1VL,111
0.994217881887,PQ6F4,7Exqp,111
0.758458947029,5gvFn,yK85a,111
-0.664704713514,2aMtU,e5zYz,111
1.82477281091,F2Sy9,I62Tm,111
-1.30987082439,dEIRn,ZApDh,111
-1.23168439956,dEIRn,XNaFx,111
-0.254877629557,sTxbg,sqrV1,111
0.0803904667431,OopuJ,XIp9C,111
-0.667921789504,WOitF,IBXbi,111
-0.53879415608,HsrDu,CZlm3,111
0.544461562232,fpVas,6Kz2o,111
0.345906055905,juZqZ,NAHXb,111
-0.629194630204,lcZqG,8fsVH,111
-0.610551938621,SIIyH,3Y0g0,111
0.0752657337106,9fxRG,17Qe2,111
0.724581453459,F2Sy9,GRwbF,111
-0.947736140307,awqQK,r4PY4,111
0.0272580076617,hxn6r,nt8oU,111
-1.97575524306,QmMJw,MqeLP,111
1.02416890703,BvNNl,Rx1B2,111
0.105656208031,9fxRG,Dp55h,111
-0.685269683878,OcBtz,e4X6I,111
-0.22768781109,WOitF,CNgcj,111
1.41463975923,h4ypP,MBW66,111
1.03047525328,ewJ6t,beML5,111
0.0891189785091,Q1WE7,yNQcc,111
0.45319800163,1DdJN,EOL2M,111
-0.932319709361,JE7ds,OZvbX,111
1.4139091595,jjPxd,8etL0,111
-1.21110095258,vWXfP,DNtVw,111
-0.501761492643,UxGti,HY8y9,111
-1.17932817823,aipp1,PIbMq,111
0.88051884712,JaFfE,A4fNW,111
-0.0162579746274,6R388,PNzuC,111
-0.643524661099,WOitF,KQUgh,111
-0.764386768528,9cfLm,pew0c,111
-0.739878738734,MVD5b,ZwYD1,111
